Producto,Tipo,Precio de temporada,Descontar,Descuento,Descuento$,Objetivo,Precio total,Actual,Asgrow
Hipopótamo Acceleron,Híbrido,"$6,210.00",false,,,12570,"$6,210.00",13073,
Rinoceronte Acceleron,Híbrido,"$5,300.00",true,,,1370,"$5,300.00",284,
Armadillo Acceleron,Híbrido,"$5,235.00",true,,,2760,"$5,235.00",2441,
Armadillo Poncho,Híbrido,"$4,925.00",true,,,0,"$4,925.00",0,
A-7573 Acceleron,Híbrido,"$3,467.00",false,,,840,"$3,467.00",44,
Vitala,Híbrido,"$8,950.00",false,,,0,"$8,950.00",0,
Faena Clásica 1L,Agroquímico,$219.00,false,,3,0,$216.00,0,
Faena Fuerte 1L,Agroquímico,$260.00,false,,3,0,$257.00,0,
Faena Fuerte Garrafa 10L,Agroquímico,$245.00,false,,3,0,$242.00,0,
Provivi (Bolsa 2.5 Hectáreas),Agroquímico,"$2,190.00",false,,90,0,"$2,100.00",0,
Clavis,Agroquímico,$897.19,false,,,0,$897.19,0,
Action Buffer (Coadyuvante),Agroquímico,$145.00,false,,,0,$145.00,0,
Surfacid,Agroquímico,$154.00,false,,,0,$154.00,0,
Muralla Max 500 ml.,Agroquímico,$636.00,false,,,0,$636.00,0,
Lider 100 ml.,Agroquímico,$131.00,false,,,0,$131.00,0,
Bayfolan Forte Solido 1 Kg.,Agroquímico,$126.00,false,,,0,$126.00,0,
Bayfolan Forte Garrafa 4 Lt.,Agroquímico,$95.00,false,,,0,$95.00,0,
Agrosuelo Garrafa 18 Lt.,Agroquímico,"$1,818.00",false,,,0,"$1,818.00",0,
A-7573 Poncho,Híbrido,"$3,208.00",false,,,0,"$3,208.00",0,
Delfin,Híbrido,,false,,,0,,0,
