Row,Budget,Facturaci N,Apartado,Contado,Cosecha,Venta,Entregada,Resiembra Otro,Resiembra Ma Z,SOG
Hipopótamo Acceleron,17461,,0,0,0,,,,,
Rinoceronte Acceleron,2889,,0,0,0,,,,,
Armadillo Acceleron,2754,,0,0,0,,,,,
A-7573,1162,,0,0,0,,,,,
Caribú Y,104,,0,0,0,,,,,
Delfín,389,,0,0,0,,,,,
Faena Clásica 10 Lts,2911,,0,0,0,,,,,
Faena Clásica 1 Lts,2997,,0,0,0,,,,,
Faena Clásica 200 Lts,6867,,0,0,0,,,,,
Faena Fuerte 10 Lts,1001,,0,0,0,,,,,
Faena Fuerte 1 Lts,1825,,0,0,0,,,,,
HARN.MX. 45X12X1 LT,500,,0,0,0,,,,,
DEFENSA.MX. 44X12X1 LT,250,,0,0,0,,,,,
Clavis 12X1.05 LT,1400,,0,0,0,,,,,
